id,Tale,Title,Author,Date,Format,Language,FirstPublicationLocation,Notes
217,Aesops Fables,sapien sapien non,Der Lindemann,1998,Short story,English,United Kingdom,platea dictumst aliquam augue quam sollicitudin vitae consectetuer
218,Aesops Fables,ultrices posuere cubilia curae duis,Hildagarde Stoddard,2003,Short story,English,United Kingdom,diam neque vestibulum
219,The Teeny Tiny Woman,integer ac neque,Stewart Camili,1976,Short story,English,United Kingdom,dapibus dolor vel est
220,Stone Soup,pede ullamcorper augue a,Niko Sivyour,1987,Short story,English,United Kingdom,tempor turpis
221,Gingerbread Man,nulla facilisi,Cherri Hinsch,2001,Short story,English,United Kingdom,
222,Hans in Luck,velit nec nisi vulputate,Bellanca Robillart,1994,Short story,English,United Kingdom,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna
223,Gingerbread Man,justo lacinia eget tincidunt eget tempus,Tomkin Koubek,2006,Novel,English,United Kingdom,lorem id ligula suspendisse ornare
224,The Fisherman and his Wife,leo maecenas pulvinar lobortis,Ernesta Bever,2012,Short story,English,United Kingdom,
225,The Teeny Tiny Woman,luctus nec,Shannon Woolfoot,2002,Novel,English,United Kingdom,
226,The Little Red Hen,ornare consequat lectus,Nikolai Mattea,1960,Novel,English,United Kingdom,
227,Stone Soup,eget congue eget,Mureil Dibdall,2006,Short story,English,United Kingdom,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce
228,Goldilocks and the Three Bears,ultrices posuere cubilia curae,Daisie Gartan,1999,Novel,English,United Kingdom,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus
229,Little Red Riding Hood,risus semper porta volutpat quam,Querida Dodamead,2001,Short story,English,United Kingdom,ante vestibulum ante ipsum
230,Little Red Riding Hood,ut massa volutpat convallis,Dore Caiger,1987,Short story,English,United Kingdom,phasellus in felis donec semper sapien a libero nam
231,Seven Swabians,lectus in est risus auctor sed,Annie Capun,2007,Short story,English,United Kingdom,lacus curabitur at ipsum ac tellus
232,Fractured Fairy Tales,pretium nisl ut,Amby Chapier,2011,Novel,English,United Kingdom,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id
233,Stone Soup,nam ultrices libero non mattis,Aarika Ekkel,1990,Short story,English,United Kingdom,penatibus et magnis dis parturient
234,The Ugly Duckling,in hac habitasse platea,Christal Aguirrezabala,1990,Novel,English,United Kingdom,integer ac neque duis bibendum morbi non quam
235,Henny Penny,felis sed lacus morbi sem mauris,Woodie Blint,2012,Novel,English,Haiti,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti
236,Little Red Riding Hood,in imperdiet et commodo,Francine Shiril,1997,Novel,English,Mexico,sapien ut nunc vestibulum
237,Fractured Fairy Tales,elit ac nulla sed vel enim,Benedict Stanesby,2000,Short story,English,Portugal,potenti nullam porttitor lacus at
238,Goldilocks and the Three Bears,blandit ultrices enim lorem ipsum dolor,Perkin Forman,2003,Short story,English,Spain,vivamus tortor duis mattis egestas metus aenean fermentum donec
239,Little Red Riding Hood,penatibus et magnis dis parturient,Putnem Wilfing,1989,Novel,English,Grenada,sed interdum venenatis turpis enim blandit
240,Puss in Boots,primis in faucibus,Conant Henrichs,2005,Short story,English,Japan,ac diam cras pellentesque
241,The Grasshopper and the Ants,dui nec nisi volutpat eleifend donec,Linnie Inglesant,1994,Novel,English,Estonia,aliquam quis
242,The Fisherman and his Wife,turpis eget elit sodales scelerisque mauris,Agata Simoes,2002,Short story,English,Indonesia,varius ut blandit non interdum
243,Snow White,ullamcorper purus sit amet,Olag Stopps,2007,Novel,English,Dominica,auctor sed tristique in tempus sit amet sem
244,Goldilocks and the Three Bears,sapien sapien,Izak Kuzemka,1988,Novel,English,Jamaica,etiam vel augue
245,The Bremen Town Musicians,dapibus nulla suscipit ligula in lacus,Bartholomeo Agerskow,2010,Novel,English,India,semper sapien a libero nam dui proin leo odio porttitor id
246,The Fox and the Grapes,justo sit amet,Gayel Lacky,1986,Short story,English,Portugal,
247,The Ugly Duckling,augue vestibulum rutrum,Marvin Pardal,2003,Novel,English,India,nunc donec quis orci eget orci vehicula condimentum
248,Little Red Riding Hood,posuere cubilia curae mauris viverra diam,Lorry Mutter,2003,Novel,English,Norway,ipsum dolor sit amet consectetuer adipiscing elit proin
249,The Lion and the Mouse,cubilia curae duis faucibus,Norina Balnaves,2006,Novel,English,Turkey,in lectus pellentesque at nulla suspendisse potenti cras
250,Little Red Riding Hood,molestie sed justo,Maxim Surpliss,2001,Short story,English,United States,sit amet
251,Gingerbread Man,lobortis vel,Alana Smorthit,2009,Short story,English,Barbados,
252,Ghost Stories,nulla tempus vivamus in,Hortensia Toffano,1996,Short story,English,Norway,platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id
253,Sleeping Beauty,suscipit nulla elit ac nulla,Rosanna Winchcombe,1992,Novel,English,India,quam fringilla rhoncus mauris enim
254,Ghost Stories,phasellus sit,Ailbert Haughian,2002,Novel,English,Jamaica,ipsum primis in faucibus orci
255,The Fox and the Grapes,sit amet eros suspendisse accumsan tortor,Dillon Sheard,2002,Short story,English,Portugal,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac
256,The Little Red Hen,congue vivamus metus arcu adipiscing molestie,Candy Strutt,1993,Novel,English,Hungary,morbi non quam nec dui
257,Brer Rabbit,pulvinar lobortis est phasellus sit,Garvin Langwade,1992,Short story,English,India,at nibh
258,Seven Swabians,proin eu mi nulla ac,Anne-marie Dominguez,1997,Short story,English,Portugal,tortor sollicitudin mi
259,Hans in Luck,luctus cum,Reggie Kolyagin,1995,Short story,English,Barbados,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet
260,Gingerbread Man,nam dui proin leo odio,Ray Freeberne,2004,Novel,English,Grenada,
261,Fractured Fairy Tales,odio cras mi pede,Dilan Pottberry,1997,Short story,English,Jamaica,augue luctus tincidunt nulla
262,Chicken Little,quis turpis,Manfred Huller,1992,Short story,English,Spain,
263,Aesops Fables,posuere cubilia curae donec,Farlee Javes,2006,Novel,English,Barbados,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus
264,Aesops Fables,dui vel sem sed,Ker Dranfield,1990,Novel,English,Singapore,in hac habitasse platea dictumst maecenas ut massa quis augue luctus
265,Hans in Luck,sollicitudin vitae,Gerty Carillo,1999,Short story,English,Greece,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum
266,The Ugly Duckling,at vulputate vitae nisl aenean lectus,Martyn Livens,2009,Short story,English,Greece,pharetra magna ac consequat metus sapien
267,Henny Penny,etiam vel,Tanya Malt,1995,Short story,English,Barbados,
268,Gingerbread Man,donec dapibus duis at velit eu,Glory Steely,1997,Short story,English,Singapore,leo odio condimentum id luctus nec molestie sed justo pellentesque
269,Cinderella,in faucibus orci luctus,Tommie Sivewright,1986,Novel,English,Singapore,tempor convallis nulla neque libero convallis eget eleifend
270,Henny Penny,molestie nibh in lectus pellentesque,Grannie Landsborough,1993,Short story,English,United Kingdom,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus
271,The Grasshopper and the Ants,rutrum nulla tellus,Angeline Dannel,2010,Novel,English,Haiti,nulla neque libero convallis eget eleifend luctus ultricies
272,Fractured Fairy Tales,sit amet erat,Estele Hardbattle,1997,Novel,English,United States,consequat varius integer ac leo pellentesque ultrices mattis odio
273,Goldilocks and the Three Bears,rutrum rutrum,Sybille Linfield,1992,Novel,English,Haiti,curae donec pharetra magna
274,Ghost Stories,ante ipsum primis in faucibus,Arlinda Tilley,2000,Short story,English,Serbia,nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit
275,Cinderella,platea dictumst aliquam augue quam,Violette Faier,1993,Short story,English,Haiti,nisl nunc nisl duis bibendum felis sed interdum venenatis
276,The Town Mouse and the Country Mouse,semper rutrum nulla nunc,Annice Hugle,1998,Novel,English,Nepal,turpis nec euismod scelerisque quam
277,Henny Penny,nisi nam ultrices libero non mattis,Robbie Tuft,1988,Short story,English,United States,congue risus semper porta volutpat quam pede lobortis ligula
278,Aesops Fables,congue etiam,Genvieve While,2004,Novel,English,Turkey,massa tempor convallis
279,The Princess and the Pea,in est,Gifford Mortell,1998,Short story,English,China,a libero nam
280,The Fox and the Grapes,sapien cursus vestibulum proin,Berkie Obern,2008,Short story,English,Romania,sodales sed tincidunt eu felis
281,The Little Red Hen,sed interdum venenatis turpis enim,Carilyn Groven,1998,Novel,English,Mexico,sem duis aliquam
282,Gingerbread Man,turpis sed ante,Gabi Craxford,2007,Short story,English,Russia,
283,The Little Red Hen,nunc nisl duis bibendum felis,Roxine Aldis,2007,Novel,English,United States,
284,Aesops Fables,arcu adipiscing molestie hendrerit,Dorry Peasegod,1996,Short story,English,Jamaica,
285,Fractured Fairy Tales,lacus purus aliquet at,Brian Vlahos,2012,Short story,English,Greece,quis odio
286,Goldilocks and the Three Bears,id consequat in,Ralf Orris,2003,Novel,English,France,
287,Little Red Riding Hood,tristique fusce congue,Gwynne O'Teague,2009,Short story,English,Dominica,habitasse platea
288,Henny Penny,vestibulum ac est lacinia,Dalli Yourell,1999,Short story,English,Turkey,ligula nec sem duis aliquam convallis nunc
289,The Fisherman and his Wife,phasellus sit amet,Zorine McGarvey,2008,Novel,English,Singapore,mi pede malesuada
290,The Bremen Town Musicians,nulla ultrices aliquet maecenas,Sallyanne Alflat,2004,Short story,English,Singapore,at ipsum ac tellus semper interdum mauris
291,Gingerbread Man,donec posuere metus,Cara Blaasch,2006,Short story,English,Turkey,in leo maecenas pulvinar lobortis est phasellus
292,The Ugly Duckling,libero nullam sit amet,Gabriell Scipsey,1996,Short story,English,Japan,
293,Puss in Boots,in faucibus orci,Salmon Oldfield,1965,Short story,English,Turkey,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit
294,Stone Soup,nunc commodo placerat,Nevile Tume,2002,Novel,English,Haiti,non sodales sed
295,Ghost Stories,maecenas rhoncus aliquam lacus morbi quis,Freeman Siely,2010,Novel,English,Mexico,id sapien in sapien iaculis congue vivamus metus arcu adipiscing
296,Rapunzel,mauris lacinia sapien,Atlanta Hartley,2012,Short story,English,United States,justo in hac habitasse
297,Sleeping Beauty,in hac,Abbot MacTrustrie,2004,Novel,English,Dominica,iaculis justo in hac habitasse platea dictumst etiam
298,Henny Penny,consequat lectus,Jenni Lavrinov,1995,Novel,English,Japan,
299,Cinderella,leo rhoncus sed vestibulum sit amet,Michaeline Tomblett,2002,Novel,English,Barbados,faucibus cursus urna
300,Jack and the Beanstalk,phasellus in felis,Randie Hebblewhite,1992,Novel,English,Serbia,tortor sollicitudin mi sit amet lobortis sapien
301,The Ugly Duckling,congue diam id ornare imperdiet,Jilli Turone,1992,Novel,English,Germany,luctus et ultrices posuere cubilia curae duis
302,Henny Penny,odio in hac habitasse,Garold Jarratt,2007,Short story,English,Thailand,
303,Sleeping Beauty,semper sapien a libero,Marget Griss,1991,Short story,English,Haiti,cubilia curae duis faucibus accumsan odio curabitur convallis duis
304,Trickster Tales,dolor morbi vel lectus in,Terrence Clavering,2004,Short story,English,United Kingdom,
305,Belling the Cat,blandit ultrices enim lorem ipsum,Lotte Burdikin,2012,Novel,English,Japan,sapien ut nunc vestibulum ante ipsum
306,Rapunzel,mattis odio donec vitae,Cesare Doumer,1996,Novel,English,Spain,vel pede morbi porttitor
307,Little Red Riding Hood,non quam nec,Debby Wethers,2009,Short story,English,Jamaica,
308,Aesops Fables,viverra dapibus nulla suscipit ligula in,Nady Larn,2008,Short story,English,Nepal,
309,Belling the Cat,ut odio cras mi pede,Thane Yardley,2005,Short story,English,United States,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut
310,The Fox and the Grapes,ipsum primis in,Anneliese Grayne,2011,Novel,English,Japan,augue a
311,Aesops Fables,praesent id massa id nisl venenatis,Ximenez Pervoe,2006,Short story,English,Norway,viverra pede ac diam
312,The Teeny Tiny Woman,hac habitasse platea,Aleece Abrahamovitz,1990,Short story,English,Japan,lorem ipsum dolor sit amet consectetuer adipiscing elit proin
313,Hans in Luck,vel accumsan tellus nisi eu orci,Henka Brendish,1996,Short story,English,Vietnam,placerat praesent blandit
314,Cinderella,in felis donec semper sapien a,Bard Althrope,2010,Novel,English,United Kingdom,
315,Aesops Fables,augue vestibulum ante ipsum primis,Carmine Kalaher,2004,Short story,English,Russia,nulla tellus in sagittis dui vel nisl duis ac nibh
316,Puss in Boots,posuere nonummy integer non velit donec,Alvina Honeyghan,2005,Short story,English,Japan,elementum in
317,Jack and the Beanstalk,est risus,Belicia Wedderburn,2010,Novel,English,Haiti,
318,Brer Rabbit,non ligula pellentesque ultrices,Benita Ramme,1998,Novel,English,Jamaica,in est risus auctor sed tristique in tempus
319,The Grasshopper and the Ants,odio porttitor id consequat in consequat,Isaak Robbe,2001,Novel,English,Greece,
320,Tom Thumb,quis turpis eget elit,Idalia Wind,2011,Short story,English,Spain,amet cursus
321,The Fox and the Grapes,cras non velit,Petr Bech,1997,Novel,English,France,aliquet massa id lobortis convallis
322,Little Red Riding Hood,ultrices vel augue vestibulum ante,Miles Vanacci,2011,Novel,English,India,vehicula consequat morbi a ipsum integer a nibh in
323,The Princess and the Pea,in blandit ultrices,Jessy Barrand,1996,Short story,English,China,
324,Brer Rabbit,in sagittis dui vel nisl,Val Dyne,1989,Novel,English,India,dui nec nisi volutpat eleifend
325,Gingerbread Man,cras pellentesque volutpat dui,Britteny Hammond,2006,Novel,English,Russia,elit sodales
326,Hans in Luck,aliquam quis turpis,Jasper Chandlar,2012,Short story,English,Sweden,vulputate justo in blandit ultrices enim
327,Belling the Cat,amet diam,Sapphire Shaddock,2011,Short story,English,Singapore,lorem quisque ut erat curabitur gravida nisi at
328,Ghost Stories,vel nulla eget eros,Alexandre Ternouth,1993,Novel,English,United States,
329,The Bremen Town Musicians,duis bibendum morbi non quam nec,Allissa Banner,1973,Short story,English,Romania,
330,Stone Soup,magna ac consequat,Edwina Barrasse,1998,Short story,English,Mexico,in hac habitasse platea dictumst etiam faucibus
331,Little Red Riding Hood,odio curabitur convallis duis consequat,Lissie Heimann,2004,Short story,English,Serbia,nibh in hac habitasse
332,The Fisherman and his Wife,semper est quam pharetra,Bari Upham,2008,Short story,English,Mexico,a suscipit nulla elit ac nulla sed vel enim sit amet
333,Tom Thumb,sapien non mi integer ac,Tammie Wyldish,1992,Short story,English,Greece,
334,Gingerbread Man,volutpat convallis,Ariella Softley,2011,Short story,English,Hungary,
335,The Grasshopper and the Ants,etiam vel,Lanna Wilkinson,2011,Short story,English,Italy,sit amet lobortis sapien sapien non mi integer ac neque
336,The Little Red Hen,convallis nunc,Nikolaus Collis,2007,Short story,English,United States,
337,Fractured Fairy Tales,pulvinar nulla pede ullamcorper,Casey Nicolls,1998,Short story,English,United States,
338,The Ugly Duckling,faucibus orci,Gonzales Edscer,2005,Novel,English,Turkey,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer
339,Belling the Cat,rutrum ac lobortis vel,Kaitlynn Bolter,1990,Short story,English,Russia,venenatis lacinia aenean
340,The Princess and the Pea,integer pede justo lacinia eget,Kayle Allen,2008,Novel,English,Vietnam,vitae mattis nibh
341,The Princess and the Pea,leo odio porttitor id consequat in,Moina Vanini,2006,Short story,English,Jamaica,lacus morbi sem mauris
342,Jack and the Beanstalk,cursus vestibulum proin eu mi,Alanson Kybbye,1967,Novel,English,Greece,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie
343,Hans in Luck,amet consectetuer adipiscing elit,Barty Klosser,1998,Short story,English,Thailand,
344,The Princess and the Pea,natoque penatibus et magnis dis,Vinny Cropton,1995,Novel,English,Italy,congue elementum in hac habitasse platea dictumst morbi
345,The Town Mouse and the Country Mouse,commodo placerat praesent blandit,Michaela Scripture,2009,Short story,English,Greece,
346,The Ugly Duckling,duis at velit eu est congue,Nataniel Speed,1993,Novel,English,Haiti,dui maecenas tristique est et tempus semper est quam
347,Fractured Fairy Tales,consequat nulla nisl,Waring Levine,2002,Short story,English,India,vel accumsan tellus
348,Hansel and Gretel,eleifend luctus ultricies eu nibh,Kipper Carff,1984,Short story,English,Serbia,ornare consequat lectus in est risus auctor sed
349,Little Red Riding Hood,sed ante vivamus,Janelle Dimock,1987,Novel,English,Sweden,praesent blandit lacinia erat vestibulum sed magna at
350,Henny Penny,a nibh in quis justo,Ajay Kerrich,2008,Novel,English,Sweden,
351,Goldilocks and the Three Bears,aliquam non mauris,Ruby Reeds,2009,Short story,English,Iceland,maecenas pulvinar
352,Aesops Fables,enim in tempor turpis nec,Etta Schwand,2004,Novel,English,United States,
353,Tom Thumb,ipsum primis in faucibus orci,Bliss Whitland,1988,Short story,English,United States,
354,The Ugly Duckling,tincidunt eu felis,Sigismondo Pershouse,2010,Short story,English,Japan,est risus auctor sed tristique in
355,Hansel and Gretel,volutpat sapien arcu sed,Malissa Hackworth,2010,Novel,English,Portugal,id luctus
356,The Ugly Duckling,habitasse platea dictumst aliquam,Andreas Stitt,2010,Short story,English,Sweden,sociis natoque penatibus et
357,Belling the Cat,sed magna at nunc commodo placerat,Zeke Casaccia,2005,Short story,English,Italy,
358,The Fox and the Grapes,semper est quam pharetra,Mable Wreiford,1992,Short story,English,Vietnam,suspendisse ornare consequat
359,The Bremen Town Musicians,praesent blandit nam nulla integer pede,Zahara Couroy,2001,Novel,English,United States,lacus curabitur at ipsum ac tellus semper interdum mauris
360,The Fox and the Grapes,metus aenean fermentum donec ut mauris,Helli Allebone,1997,Short story,English,Nepal,cras pellentesque volutpat dui maecenas
361,Aesops Fables,congue risus semper porta volutpat quam,Marmaduke Saunderson,2009,Novel,English,Barbados,
362,The Princess and the Pea,diam vitae quam suspendisse potenti,Faye Beggi,1994,Novel,English,Norway,purus eu magna vulputate luctus cum sociis natoque
363,Jack and the Beanstalk,in tempor,Jeno Chadwen,2002,Novel,English,Russia,faucibus orci luctus et
364,Puss in Boots,pede lobortis ligula sit amet,Almeda Schutze,1999,Short story,English,India,
365,The Town Mouse and the Country Mouse,sit amet eleifend pede,Tracey Bouch,1999,Short story,English,Germany,
366,Rapunzel,ac nibh fusce lacus purus aliquet,Geno Halbard,1995,Novel,English,Vietnam,integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel
367,The Bremen Town Musicians,hac habitasse platea dictumst,Giuditta Albert,2006,Novel,English,Thailand,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing
368,Brer Rabbit,volutpat dui,Brittne Vannucci,2004,Short story,English,United States,nisl nunc nisl
369,Henny Penny,duis faucibus accumsan,Peyton Mallinar,2006,Short story,English,Malaysia,fringilla rhoncus mauris enim leo rhoncus sed vestibulum
370,Tom Thumb,in felis,Lainey McGarrity,1994,Short story,English,Thailand,volutpat quam pede lobortis
371,Aesops Fables,suspendisse accumsan tortor,Kendre Mariotte,2001,Novel,English,Barbados,sapien non mi integer ac neque duis
372,Puss in Boots,sociis natoque,Cody MacCallester,1968,Short story,English,Romania,vitae nisi nam ultrices libero non mattis pulvinar nulla
373,Fractured Fairy Tales,aliquam erat volutpat in congue,Meara Barroux,2010,Novel,English,Greece,nunc donec quis orci eget orci vehicula
374,Tom Thumb,platea dictumst etiam faucibus cursus,Helaina Elstone,2007,Novel,English,Serbia,turpis donec posuere metus
375,The Grasshopper and the Ants,nunc viverra dapibus nulla suscipit,Dorree Latan,2004,Short story,English,Serbia,vestibulum vestibulum ante ipsum primis in
376,Cinderella,in libero ut massa,Giusto Brian,2013,Novel,English,Estonia,lacus curabitur at
377,The Town Mouse and the Country Mouse,amet nulla quisque arcu libero,Selie Hebdon,1996,Short story,English,Spain,montes nascetur ridiculus mus etiam vel augue
378,Sleeping Beauty,porttitor lorem,Lisha Verralls,2003,Novel,English,Barbados,
379,Stone Soup,cubilia curae donec pharetra magna vestibulum,Mavra Buzza,1995,Short story,English,United States,lacinia nisi venenatis tristique fusce congue diam id
380,The Teeny Tiny Woman,eleifend quam a,Ingrim Warlton,2006,Novel,English,Vietnam,dignissim vestibulum vestibulum ante ipsum primis
381,Aesops Fables,at velit vivamus vel,Belva Polini,1988,Novel,English,United States,et magnis dis
382,Tom Thumb,convallis tortor risus,Dolf Voelker,1995,Short story,English,Vietnam,in leo maecenas pulvinar
383,The Bremen Town Musicians,orci luctus et ultrices posuere,Erinna Rayburn,1999,Short story,English,Spain,pede libero quis orci nullam molestie nibh in
384,Trickster Tales,mi integer ac,Sasha Dunsmore,1984,Novel,English,Portugal,
385,Sleeping Beauty,at nulla suspendisse potenti cras in,Durward Firmager,2002,Short story,English,Romania,purus phasellus in felis donec semper sapien a libero nam dui
386,The Teeny Tiny Woman,non mi integer ac,Christian Graddon,1998,Novel,English,Russia,amet nulla
387,Gingerbread Man,massa donec dapibus duis,Washington Clink,2008,Novel,English,Singapore,
388,Hans in Luck,sapien iaculis congue vivamus metus,Nike Cavanagh,2011,Novel,English,Greece,
389,Brer Rabbit,ac diam cras pellentesque volutpat,Chantalle Quadri,2005,Short story,English,Iceland,praesent blandit lacinia erat vestibulum sed magna at nunc commodo
390,Goldilocks and the Three Bears,primis in faucibus,Rice Ianinotti,1990,Novel,English,Malaysia,platea dictumst aliquam augue quam
391,Stone Soup,lacus morbi sem mauris,Bruno Brikner,2011,Short story,English,Romania,elit ac
392,Chicken Little,dignissim vestibulum vestibulum,Dilan MacCoughan,2010,Short story,English,Portugal,massa quis augue luctus
393,Ghost Stories,cubilia curae,Marjorie Brand-Hardy,2008,Novel,English,Singapore,
394,The Fox and the Grapes,at nulla suspendisse,Nerissa Buttner,1999,Novel,English,Japan,
395,The Princess and the Pea,scelerisque mauris sit amet,Ruby Banger,1994,Novel,English,Malaysia,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed
396,Jack and the Beanstalk,in faucibus orci luctus et,Kalila Duke,1986,Novel,English,Italy,
397,Hansel and Gretel,non mauris,Devan Fay,2006,Novel,English,Russia,nunc proin at turpis a pede posuere nonummy integer non
398,Belling the Cat,mi pede malesuada in imperdiet et,Joeann Brokenbrow,1994,Short story,English,Malaysia,pretium nisl
399,The Fisherman and his Wife,malesuada in imperdiet et,Jehanna Madle,1985,Novel,English,United Kingdom,varius integer ac leo pellentesque ultrices
400,Goldilocks and the Three Bears,sit amet consectetuer adipiscing elit proin,Sheeree Dowtry,2005,Novel,English,Spain,justo eu massa donec dapibus duis at velit eu
401,The Fisherman and his Wife,pharetra magna,Hurley Gillibrand,2011,Novel,English,Norway,etiam pretium iaculis justo in hac habitasse platea dictumst
402,Fractured Fairy Tales,amet sapien,Fremont Kopps,2006,Novel,English,Hungary,ipsum primis
403,Hans in Luck,platea dictumst maecenas,Arlen Kynan,2004,Short story,English,Serbia,
404,Belling the Cat,pede libero,Corinna Steedman,1989,Short story,English,Thailand,ut nulla sed accumsan felis ut at dolor
405,Aesops Fables,ullamcorper augue a,Barron Chandlar,1997,Novel,English,Indonesia,
406,Little Red Riding Hood,lorem id,Monika Delgadillo,2001,Novel,English,Spain,pede ac diam cras pellentesque volutpat
407,Henny Penny,libero quis orci nullam,Lurleen Bankes,2008,Short story,English,Portugal,lacinia sapien quis libero nullam sit amet
408,The Lion and the Mouse,penatibus et,Sallee D'Aulby,1993,Novel,English,Norway,feugiat et eros vestibulum
409,The Grasshopper and the Ants,eu felis fusce posuere felis,Rae Vasilyevski,1984,Novel,English,France,nisi nam ultrices libero
410,Seven Swabians,vivamus vel nulla eget,Ottilie St. Ledger,1987,Short story,English,France,
411,Fractured Fairy Tales,eget rutrum at lorem integer,Mac Bushell,2005,Novel,English,Mexico,nonummy maecenas tincidunt
412,Gingerbread Man,pharetra magna ac,Theo Philliphs,2003,Novel,English,Malaysia,erat id mauris vulputate
413,Puss in Boots,dui nec nisi volutpat eleifend donec,Kerr Libermore,2009,Novel,English,Nepal,fermentum donec ut mauris eget massa
414,The Princess and the Pea,sit amet cursus id turpis,Newton Ickovicz,1998,Short story,English,Russia,velit nec nisi vulputate
415,The Bremen Town Musicians,lorem ipsum dolor sit,Ludovico Stuehmeier,1996,Novel,English,Dominica,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis
416,Henny Penny,luctus et ultrices posuere cubilia,Cecil McKerron,2003,Short story,English,Malaysia,augue luctus tincidunt
417,The Grasshopper and the Ants,velit donec diam,Bren Kempson,2012,Short story,English,Haiti,sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque
418,The Teeny Tiny Woman,nisi at nibh in hac habitasse,Mario Prene,2009,Novel,English,Haiti,nulla justo aliquam quis turpis
419,Trickster Tales,in sagittis dui vel nisl,Lucita Jordine,2009,Novel,English,Barbados,venenatis lacinia
420,Rapunzel,curabitur convallis duis consequat,Patti Dummer,2010,Novel,English,Dominica,orci pede venenatis non sodales
421,Brer Rabbit,id ligula suspendisse ornare consequat lectus,Christian Licquorish,2006,Short story,English,Sweden,ut at dolor quis odio consequat varius integer ac leo
422,The Grasshopper and the Ants,nec euismod,Ysabel Braybrooke,2010,Novel,English,Haiti,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis
423,Gingerbread Man,sagittis nam congue risus,Rance Marqyes,1985,Novel,English,Romania,aliquam erat
424,The Lion and the Mouse,sapien a libero nam dui proin,Angil Braund,2012,Novel,English,United States,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci
425,Little Red Riding Hood,posuere cubilia,Lisetta Garatty,1983,Short story,English,Dominica,nulla suspendisse potenti cras in purus eu
426,The Princess and the Pea,lorem id ligula suspendisse ornare,Dix Mattsson,2008,Short story,English,Mexico,sollicitudin ut suscipit
427,Henny Penny,lorem ipsum dolor sit amet,Alejandrina Shemwell,2010,Short story,English,Germany,sollicitudin vitae consectetuer eget rutrum at lorem
428,Snow White,rutrum rutrum,Cornelius Bainton,2003,Short story,English,United States,vivamus vel nulla eget eros elementum
429,The Fisherman and his Wife,quam pede lobortis,Tobe Napoli,1985,Novel,English,Dominica,quis turpis sed
430,Little Red Riding Hood,vestibulum ante,Freemon Mccaull,2003,Novel,English,Barbados,libero quis orci
431,Sleeping Beauty,sapien ut nunc vestibulum ante,Vina Duchatel,2002,Short story,English,Greece,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu
432,The Bremen Town Musicians,lectus in,Gaby Peppett,2009,Novel,English,Estonia,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo
433,The Princess and the Pea,nisl nunc rhoncus,Winfield Sanzio,2002,Novel,English,Nepal,morbi a ipsum integer a nibh in quis justo
434,Puss in Boots,bibendum felis sed,Koressa Tunnah,1990,Short story,English,Norway,mollis molestie lorem quisque ut erat curabitur gravida nisi
435,Snow White,rutrum nulla nunc purus phasellus in,Raimondo Vamplers,1997,Short story,English,Mexico,lorem vitae mattis nibh ligula nec
436,Stone Soup,donec odio,Merle Fishe,2006,Novel,English,Mexico,in magna
437,The Ugly Duckling,laoreet ut,Maurine Hemphrey,2003,Novel,English,Spain,neque vestibulum eget vulputate ut
438,Little Red Riding Hood,orci pede venenatis non,Gwenora Dowderswell,2010,Short story,English,Nepal,adipiscing elit
439,The Town Mouse and the Country Mouse,sodales scelerisque,Avery Guilleton,2009,Novel,English,Turkey,primis in faucibus orci luctus et ultrices
440,Little Red Riding Hood,ut suscipit a,Walton Gussie,2008,Short story,English,Estonia,
441,The Princess and the Pea,a libero nam,Ansel Alf,2001,Short story,English,Portugal,semper rutrum nulla nunc purus phasellus in felis
442,Rapunzel,neque vestibulum eget,Ciel McGraw,1977,Novel,English,United Kingdom,
443,The Fox and the Grapes,gravida nisi at nibh,Norry Powling,1993,Short story,English,Haiti,sit amet
444,The Princess and the Pea,erat nulla,Marietta Guilloton,1998,Short story,English,Dominica,quam suspendisse potenti nullam
445,Fractured Fairy Tales,odio porttitor id consequat in consequat,Elga Schimank,1998,Short story,English,United States,ut erat curabitur gravida nisi
