id,Tale,Title,Author,Date,Format,Language,FirstPublicationLocation,Notes
224,The Ugly Duckling,turpis nec euismod scelerisque quam,Vivien Woffenden,2010,Short story,English,Slovenia,vulputate nonummy maecenas
225,The Grasshopper and the Ants,dolor sit amet consectetuer adipiscing elit,Curcio Synke,2012,Novel,English,Slovenia,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit
226,The Teeny Tiny Woman,arcu sed augue aliquam,Skell McCahey,2005,Novel,English,Slovenia,
227,Brer Rabbit,nisl aenean lectus pellentesque eget nunc,Frazier Ayto,1997,Novel,English,Slovenia,tincidunt eget tempus vel pede morbi porttitor lorem id
228,The Little Red Hen,metus sapien ut,Gibby Brocklebank,1998,Short story,English,USA,convallis duis consequat dui nec nisi volutpat eleifend donec ut
229,The Teeny Tiny Woman,vel sem,Thurstan Burdikin,2007,Novel,English,Germany,lobortis ligula sit
230,Cinderella,habitasse platea dictumst morbi vestibulum,Thurston Bedham,2011,Novel,English,USA,consequat metus sapien ut
231,The Teeny Tiny Woman,non velit nec,Franky Ferrillio,1993,Short story,English,Slovenia,
232,Chicken Little,in hac habitasse platea dictumst,Dex Wareham,1993,Novel,English,Slovenia,nunc rhoncus dui vel sem sed sagittis
233,Gingerbread Man,libero quis orci nullam,Cello Meegin,2001,Novel,English,Germany,mauris eget massa tempor convallis
234,Seven Swabians,felis ut at dolor quis odio,Candis Wyrall,1964,Short story,English,Germany,
235,Puss in Boots,accumsan tortor,Lilia Neathway,2003,Novel,English,USA,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget
236,Goldilocks and the Three Bears,erat quisque erat,Carroll Sollis,1988,Novel,English,Germany,est congue elementum in
237,Jack and the Beanstalk,integer ac leo pellentesque ultrices mattis,Kevina Hallyburton,2009,Short story,English,Slovenia,dui maecenas tristique
238,The Princess and the Pea,convallis tortor risus,Gustavus Ribey,2010,Short story,English,USA,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum
239,Goldilocks and the Three Bears,ut suscipit a,Stinky Dmych,2007,Novel,English,Germany,donec semper sapien a libero nam dui proin leo odio
240,Gingerbread Man,venenatis non sodales sed,Elwood Swinden,1996,Novel,English,Germany,aliquam augue quam sollicitudin
241,Puss in Boots,quis lectus suspendisse potenti,Manfred McAlees,2001,Short story,English,Slovenia,proin risus praesent lectus vestibulum
242,Henny Penny,congue eget,Tiphanie Deegan,1987,Short story,English,USA,vehicula condimentum curabitur in libero
243,Aesops Fables,fusce lacus purus aliquet,Allison McCallam,1986,Novel,English,Slovenia,nam nulla integer
244,The Fisherman and his Wife,enim in tempor,Nevin Hattiff,1989,Short story,English,Germany,magna ac consequat metus sapien ut nunc vestibulum ante ipsum
245,The Ugly Duckling,vestibulum rutrum rutrum neque,Mercedes Proudlove,1997,Short story,English,Slovenia,placerat ante nulla justo aliquam quis turpis eget
246,The Town Mouse and the Country Mouse,venenatis non sodales sed,Beilul Pearse,2013,Novel,English,Slovenia,augue vestibulum rutrum rutrum neque aenean auctor gravida sem
247,Trickster Tales,vestibulum sed magna at,Lilyan Elks,1997,Short story,English,USA,vehicula condimentum curabitur in libero ut massa
248,The Bremen Town Musicians,id lobortis convallis tortor risus dapibus,Ag Hansberry,2012,Novel,English,USA,vivamus vel nulla eget eros elementum pellentesque quisque
249,The Ugly Duckling,cursus id turpis integer aliquet massa,Joeann Croneen,2012,Short story,English,Germany,cursus urna ut tellus nulla ut erat
250,Seven Swabians,cubilia curae mauris viverra diam vitae,Dalt Weiser,1999,Short story,English,Germany,risus semper porta volutpat quam pede lobortis ligula sit
251,Fractured Fairy Tales,tellus semper,Caressa Ephgrave,2011,Short story,English,Slovenia,ligula sit amet
252,Stone Soup,dis parturient montes nascetur ridiculus,Thomas Kulas,1993,Short story,English,UK,neque duis bibendum morbi non quam nec dui luctus rutrum
253,The Fox and the Grapes,est quam,Frank Izkovitz,2010,Novel,English,Germany,blandit lacinia erat vestibulum
254,Rapunzel,nibh ligula nec sem duis,Kiley Sichardt,1997,Short story,English,Germany,
255,Chicken Little,nam dui proin,Clemmie Featherstonehaugh,2009,Short story,English,Germany,fermentum justo nec condimentum
256,The Ugly Duckling,aliquet massa id lobortis convallis,Nerta Bolsover,1999,Short story,English,USA,
257,Henny Penny,libero quis orci nullam,Earvin Lomond,2004,Short story,English,Germany,eu mi nulla ac enim in tempor turpis nec
258,The Grasshopper and the Ants,rhoncus aliquet pulvinar,Suzann Sprackling,1995,Short story,English,UK,donec odio justo sollicitudin ut suscipit a feugiat et
259,Jack and the Beanstalk,convallis nulla neque libero,Hermine Gissop,1986,Novel,English,UK,ut erat curabitur gravida
260,The Fisherman and his Wife,tempus semper est,Nicol McManamen,2004,Short story,English,USA,ipsum primis in faucibus orci
261,Belling the Cat,erat nulla tempus vivamus in,Pet Weinberg,1995,Novel,English,UK,id ligula
262,The Town Mouse and the Country Mouse,quam fringilla rhoncus mauris,Smith Curnick,1995,Short story,English,UK,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel
263,Rapunzel,sapien urna,Berton Richel,1998,Short story,English,Germany,nascetur ridiculus mus vivamus vestibulum sagittis
264,The Grasshopper and the Ants,velit id pretium iaculis,Inness Adami,2012,Novel,English,USA,luctus et ultrices posuere cubilia
265,Ghost Stories,in faucibus,Reinold Garrud,1999,Novel,English,UK,fusce congue diam id ornare imperdiet
266,The Teeny Tiny Woman,risus praesent lectus vestibulum quam,Marti Deppen,2006,Short story,English,Germany,felis sed lacus morbi sem mauris laoreet
267,Henny Penny,nulla suscipit ligula in lacus,Elfrieda Heardman,1994,Short story,English,UK,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum
268,Seven Swabians,sapien cum sociis natoque penatibus,Debera Ottley,2004,Short story,English,Germany,
269,Aesops Fables,nulla justo aliquam quis turpis eget,Dagmar Stewart,1989,Short story,English,UK,
270,The Grasshopper and the Ants,sit amet sapien dignissim,Violet Yarnley,2010,Novel,English,Belgium,diam nam
271,Belling the Cat,primis in,Tiff Wolstencroft,2008,Short story,English,USA,
272,The Lion and the Mouse,auctor sed tristique in,Merwyn Bedlington,2009,Short story,English,UK,sem fusce consequat nulla nisl nunc
273,Little Red Riding Hood,ornare consequat,Cary Gendricke,1985,Novel,English,UK,
274,The Lion and the Mouse,ante vivamus tortor,Zerk Allchin,1994,Novel,English,UK,aliquet pulvinar sed nisl nunc rhoncus dui vel sem
275,Snow White,dolor morbi vel lectus,Pearla Winfield,2007,Novel,English,USA,nam congue risus semper porta volutpat quam
276,Puss in Boots,in leo,Otes Etherton,2002,Short story,English,UK,montes nascetur ridiculus
277,The Town Mouse and the Country Mouse,ipsum primis in,Fons Seaward,2010,Short story,English,Germany,elit proin risus praesent lectus
278,Hans in Luck,donec semper sapien a,Cosimo McCorrie,2009,Short story,English,UK,
279,The Princess and the Pea,eu massa donec dapibus duis,Ronalda Hakewell,2011,Novel,English,UK,volutpat sapien arcu
280,Seven Swabians,nisi vulputate nonummy maecenas,Tory Milesap,2005,Short story,English,USA,
281,The Fox and the Grapes,nascetur ridiculus mus vivamus vestibulum,Leone Duigenan,2005,Novel,English,USA,integer tincidunt ante
282,The Town Mouse and the Country Mouse,quis tortor id nulla ultrices aliquet,Neddie Loude,2000,Short story,English,UK,ac neque duis bibendum
283,The Ugly Duckling,sollicitudin ut suscipit a,Antonina Haquin,1994,Short story,English,USA,lobortis vel dapibus at
284,Seven Swabians,at dolor quis odio consequat,Stevena Ciubutaro,2006,Short story,English,UK,vivamus in felis eu sapien cursus vestibulum proin eu
285,Seven Swabians,nisl venenatis lacinia aenean sit amet,Gris Gerrietz,1980,Short story,English,UK,mauris viverra diam vitae quam suspendisse potenti nullam porttitor
286,Snow White,quam fringilla rhoncus mauris enim,Eugene Varley,1986,Short story,English,Germany,orci luctus et ultrices posuere cubilia curae
287,The Princess and the Pea,sapien varius ut blandit non interdum,Cassandry Rosas,1989,Novel,English,USA,phasellus id sapien in sapien iaculis congue vivamus metus arcu
288,Aesops Fables,nulla dapibus dolor vel,Tonya Pietrowski,1985,Short story,English,UK,nisl nunc
289,Brer Rabbit,quis odio consequat varius,Bucky McKissack,2002,Short story,English,USA,nisi eu orci mauris lacinia sapien quis
290,Sleeping Beauty,mi in porttitor pede justo,Fredric Lackeye,1996,Short story,English,Germany,elementum pellentesque quisque porta
291,Cinderella,turpis integer aliquet massa,Fran Ogborne,2002,Novel,English,USA,gravida nisi at nibh in hac habitasse platea dictumst aliquam
292,The Town Mouse and the Country Mouse,aliquet massa id lobortis,Aubrie Frances,2009,Novel,English,UK,pede posuere
293,Ghost Stories,phasellus sit amet erat nulla,Kalindi Burney,2009,Short story,English,UK,at velit vivamus vel nulla eget eros elementum pellentesque quisque porta
294,Seven Swabians,pede justo eu massa donec,Dyanne Skerritt,2002,Novel,English,USA,
295,Goldilocks and the Three Bears,aliquam erat volutpat in,Anni Easom,2003,Novel,English,UK,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas
296,Ghost Stories,orci luctus et ultrices posuere,Zorine Godsmark,1996,Novel,English,UK,aliquam non
297,The Grasshopper and the Ants,aenean auctor gravida sem praesent,Dru Atwel,2010,Short story,English,Germany,
298,Belling the Cat,pretium iaculis diam,Bobbee Merrison,2006,Novel,English,Germany,sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices
299,Puss in Boots,amet sem fusce consequat nulla nisl,Georges Wann,2006,Short story,English,UK,
300,Rapunzel,magna bibendum imperdiet,Harris Rivelon,1996,Novel,English,UK,
301,Jack and the Beanstalk,sapien cursus vestibulum proin,Swen Brislen,1986,Novel,English,UK,libero rutrum ac lobortis vel dapibus at
302,Aesops Fables,convallis nunc proin,Loree Janacek,1996,Short story,English,UK,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in
303,Henny Penny,vivamus tortor duis mattis,Allsun Trouel,1998,Novel,English,UK,congue vivamus metus arcu adipiscing molestie hendrerit
304,Aesops Fables,nonummy maecenas tincidunt,Lindie Korneichuk,2006,Novel,English,UK,dolor sit amet consectetuer
305,Henny Penny,vestibulum aliquet,Marcelia Brickdale,2007,Novel,English,Belgium,
306,Stone Soup,massa tempor convallis nulla neque libero,Delora Pozzo,2011,Novel,English,Germany,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo
307,The Princess and the Pea,et ultrices posuere cubilia curae nulla,Matty Benyon,2005,Novel,English,Germany,nulla pede ullamcorper augue
308,Hansel and Gretel,ac est lacinia nisi venenatis,Kordula Sidsaff,2006,Short story,English,UK,congue etiam justo etiam pretium iaculis justo in hac habitasse
309,Cinderella,tincidunt eget,Kip Loblie,1997,Short story,English,Germany,cursus vestibulum proin eu mi nulla ac enim in
310,The Town Mouse and the Country Mouse,lacinia sapien quis,Raff Beckworth,2003,Novel,English,USA,justo in hac habitasse platea dictumst etiam faucibus cursus urna
311,Hansel and Gretel,dictumst etiam,Eddie Scyner,2012,Short story,English,USA,pede lobortis ligula sit amet eleifend pede libero
312,Cinderella,proin risus praesent lectus vestibulum,Vidovik Gatlin,1988,Short story,English,Germany,sapien cursus vestibulum proin eu mi nulla ac enim in
313,Trickster Tales,cras mi pede malesuada in,Laughton Hellis,2000,Short story,English,UK,
314,Seven Swabians,eleifend donec,Darline Maxweell,1993,Short story,English,Belgium,posuere cubilia curae duis
315,Aesops Fables,eu mi nulla,Tudor Skells,1998,Short story,English,Belgium,amet justo morbi ut odio cras mi pede malesuada in
316,Cinderella,turpis enim blandit mi in porttitor,Heindrick Axe,1991,Short story,English,USA,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus
317,The Fisherman and his Wife,nullam sit amet turpis,Hobard Crickmer,2008,Novel,English,USA,ut tellus nulla ut erat
318,The Princess and the Pea,eget elit sodales scelerisque mauris sit,Elita Leebetter,2001,Short story,English,UK,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante
319,Trickster Tales,augue aliquam erat volutpat in congue,Hi Besse,2008,Short story,English,UK,odio curabitur convallis duis
320,Henny Penny,sem mauris laoreet ut,Jess Piddlesden,2005,Short story,English,Belgium,vel lectus in quam fringilla rhoncus mauris enim leo
321,Jack and the Beanstalk,ligula in lacus curabitur,Kele Mackney,1985,Novel,English,UK,luctus rutrum nulla tellus
322,Little Red Riding Hood,amet turpis elementum ligula,Matelda Mundle,2005,Novel,English,USA,
323,Ghost Stories,lacinia sapien quis libero nullam,Gratiana O'Corhane,2002,Novel,English,UK,duis ac nibh fusce
324,Ghost Stories,sem mauris laoreet ut rhoncus aliquet,Cynde Izhaky,1996,Novel,English,UK,tortor id nulla ultrices
325,The Teeny Tiny Woman,ante vel ipsum,Nessi Saintsbury,2005,Novel,English,Germany,varius integer ac leo pellentesque ultrices mattis odio
326,The Princess and the Pea,ridiculus mus vivamus vestibulum,See Akrigg,1993,Short story,English,UK,eu massa donec
327,Hans in Luck,tellus in sagittis dui vel nisl,Veda Reaveley,1999,Novel,English,UK,condimentum id luctus
328,The Teeny Tiny Woman,sapien cursus,Dall Hugnet,1993,Short story,English,USA,gravida sem praesent id massa id nisl venenatis
329,Sleeping Beauty,in purus eu magna vulputate,Allan Dymick,2001,Novel,English,USA,sapien in sapien iaculis congue vivamus metus arcu
330,Fractured Fairy Tales,pulvinar nulla pede ullamcorper augue a,Kimmi Lamplugh,1995,Novel,English,USA,sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus
331,The Fox and the Grapes,venenatis lacinia aenean sit amet justo,Lane Hollyland,2007,Short story,English,Belgium,
332,The Lion and the Mouse,non mi integer,Kerrie Castletine,2006,Short story,English,UK,quis tortor id nulla ultrices aliquet maecenas
333,Ghost Stories,sollicitudin ut suscipit,Frank Sarra,2010,Short story,English,Germany,pede venenatis non
334,Jack and the Beanstalk,dui nec nisi,Liuka Read,2002,Novel,English,UK,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque
335,Goldilocks and the Three Bears,eros viverra eget congue,Nike Denison,2004,Novel,English,UK,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie
336,Brer Rabbit,erat nulla,Hermie Bertenshaw,1998,Short story,English,Germany,leo maecenas pulvinar lobortis est phasellus sit
337,Rapunzel,justo aliquam quis turpis eget elit,Harold Aldersley,1998,Short story,English,Belgium,
338,Belling the Cat,praesent blandit lacinia erat vestibulum,Sharlene Berrey,1993,Novel,English,UK,
339,Belling the Cat,curabitur at ipsum ac tellus,Kailey Kienl,2012,Short story,English,USA,magna ac consequat metus sapien ut nunc vestibulum ante
340,Snow White,semper est quam pharetra magna ac,Olga Corrigan,1989,Novel,English,USA,dolor sit
341,Tom Thumb,non mi integer ac neque duis,Ahmed Leys,2011,Short story,English,UK,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat
342,The Fox and the Grapes,mi in porttitor pede justo,Sayer Northbridge,1986,Novel,English,UK,ultrices posuere cubilia curae nulla dapibus
343,The Princess and the Pea,dapibus at diam nam,Benson Sabate,1997,Novel,English,Belgium,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices
344,The Fisherman and his Wife,cursus vestibulum,Ellie Kupec,2006,Short story,English,UK,
345,Hansel and Gretel,faucibus orci luctus,Korry Garroch,1999,Novel,English,UK,neque duis bibendum morbi
346,The Ugly Duckling,integer ac neque duis,Ashla Bwye,2001,Novel,English,Germany,libero nam dui proin leo odio porttitor
347,The Teeny Tiny Woman,magna vestibulum aliquet ultrices erat tortor,Mady Chesshire,2010,Novel,English,Belgium,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate
348,Sleeping Beauty,nibh in quis,Molli Caves,2006,Short story,English,Belgium,lobortis sapien
349,The Ugly Duckling,turpis enim,Dex Petrovsky,2012,Short story,English,UK,vel augue vestibulum rutrum rutrum neque aenean
350,Cinderella,amet eleifend pede libero,Goldy Redford,1998,Novel,English,USA,
351,Hans in Luck,curabitur convallis duis consequat,Jarad Matokhnin,2009,Novel,English,USA,potenti nullam
352,Chicken Little,lectus vestibulum quam,Lisette Thornewill,1999,Short story,English,UK,dapibus at diam
353,Gingerbread Man,ante vestibulum,Mame Klimpt,1990,Novel,English,USA,quis turpis eget elit sodales scelerisque mauris sit amet eros
354,The Ugly Duckling,nam dui proin leo,Moe Lortzing,1994,Short story,English,USA,
355,Hansel and Gretel,venenatis tristique fusce congue,Tabby Brussell,1993,Novel,English,Germany,enim blandit mi in porttitor pede justo eu massa donec
356,The Fisherman and his Wife,nulla ut,Christiane Ioan,1996,Novel,English,UK,leo rhoncus sed vestibulum sit amet
357,Puss in Boots,neque duis bibendum morbi non,Veradis Massel,1996,Novel,English,USA,dapibus dolor vel est donec odio justo
358,Goldilocks and the Three Bears,erat nulla tempus vivamus,Katherine Skae,2004,Short story,English,Germany,ut erat id mauris vulputate
359,Ghost Stories,posuere metus vitae,Stella Krale,2008,Short story,English,Germany,lacinia aenean
360,Tom Thumb,enim lorem ipsum dolor,Polly Peregrine,2006,Short story,English,UK,sit amet turpis elementum ligula vehicula consequat
361,The Fisherman and his Wife,vitae ipsum aliquam non mauris,Nancee Lindenfeld,2012,Short story,English,UK,sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum
362,The Fox and the Grapes,eget tempus vel pede morbi,Hannah Deverall,2005,Short story,English,Belgium,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus
363,Snow White,faucibus orci luctus et ultrices,Early Aronovitz,2006,Novel,English,UK,dolor morbi vel lectus
364,The Little Red Hen,id luctus,Jeramey Penhalewick,2004,Short story,English,Germany,euismod scelerisque quam turpis adipiscing lorem vitae
365,The Little Red Hen,porttitor pede justo eu massa,Tiebold Toquet,2011,Novel,English,UK,mattis pulvinar nulla pede
366,Sleeping Beauty,sit amet,Karl Demetr,1988,Novel,English,Germany,elementum pellentesque quisque porta volutpat erat
367,Stone Soup,donec semper,Huntlee Carrel,2012,Short story,English,USA,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan
368,The Princess and the Pea,cras mi pede,Bevon Janikowski,2001,Short story,English,USA,ultricies eu nibh quisque id justo sit amet
369,Aesops Fables,in libero ut,Orelee Volonte,2006,Short story,English,Belgium,ultrices aliquet
370,Snow White,in leo maecenas pulvinar,Danette Dumpleton,1996,Short story,English,UK,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus
371,Puss in Boots,luctus et ultrices posuere cubilia,Ailee Fairbairn,2002,Novel,English,Germany,dictumst aliquam augue quam sollicitudin vitae consectetuer eget
372,The Teeny Tiny Woman,mauris enim,Welsh Chicotti,2010,Novel,English,USA,
373,Gingerbread Man,volutpat convallis morbi odio,Timoteo Hulke,1999,Short story,English,UK,id pretium iaculis diam erat fermentum justo nec condimentum neque
374,The Ugly Duckling,et ultrices posuere,Kaile Hutchins,2002,Novel,English,UK,
375,Ghost Stories,eu tincidunt in,Elizabet Finicj,1996,Short story,English,UK,
376,Ghost Stories,diam in magna bibendum imperdiet,Chicky Leasor,2005,Short story,English,UK,justo morbi ut odio cras mi pede malesuada in imperdiet et
377,Goldilocks and the Three Bears,eu est congue elementum in,Kermit Emerson,2007,Novel,English,Germany,blandit nam nulla integer pede justo lacinia eget tincidunt
378,The Fox and the Grapes,in magna bibendum imperdiet nullam,Deb Tarpey,1968,Novel,English,UK,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna
379,Fractured Fairy Tales,convallis tortor risus dapibus augue vel,Bunni Langfat,1997,Short story,English,Germany,donec quis orci eget orci vehicula condimentum curabitur in libero
380,The Grasshopper and the Ants,quam suspendisse potenti nullam porttitor lacus,Virgil Norkutt,2004,Short story,English,UK,at nibh in hac habitasse platea
381,Sleeping Beauty,ut ultrices vel augue vestibulum ante,Consolata Hadigate,2013,Novel,English,Belgium,accumsan tortor quis turpis sed ante vivamus tortor
382,Stone Soup,felis eu sapien cursus vestibulum proin,Madonna Breewood,2007,Novel,English,UK,adipiscing elit
383,Belling the Cat,ac lobortis vel dapibus at diam,Rinaldo Dethloff,2012,Short story,English,UK,gravida nisi at nibh in hac habitasse platea dictumst
384,Snow White,nunc commodo placerat praesent blandit,Theda Ellin,2001,Novel,English,Germany,elementum ligula vehicula consequat morbi
385,Rapunzel,nulla sed vel enim sit amet,Mahala Heimes,2012,Short story,English,Belgium,in sapien iaculis congue vivamus metus arcu adipiscing molestie
386,Aesops Fables,consequat dui nec nisi volutpat eleifend,Jacklyn Farrans,2002,Short story,English,UK,
387,Hans in Luck,maecenas pulvinar lobortis est,Winny Foresight,2011,Short story,English,UK,in tempus sit amet sem fusce consequat
388,Seven Swabians,maecenas tristique est,Emilee Minihan,2012,Novel,English,USA,in hac habitasse platea dictumst maecenas
389,Trickster Tales,vestibulum velit,Alvinia Pedri,2009,Novel,English,UK,posuere cubilia curae donec
390,Cinderella,nulla integer,Juan Cornilleau,2001,Novel,English,USA,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing
391,Puss in Boots,lobortis vel dapibus at diam,Harlene Moscone,1993,Novel,English,Belgium,iaculis justo in hac habitasse platea dictumst etiam
392,Chicken Little,porta volutpat erat quisque erat,Alexandra Mattock,2007,Novel,English,Belgium,
393,The Ugly Duckling,molestie hendrerit at vulputate vitae nisl,Neysa Riseley,1997,Short story,English,UK,sit amet nulla quisque arcu libero rutrum
394,Trickster Tales,faucibus orci luctus,Rusty Foukx,2013,Novel,English,UK,nulla mollis
395,Little Red Riding Hood,vestibulum rutrum rutrum neque aenean auctor,Rene Draco,2009,Short story,English,UK,
396,The Bremen Town Musicians,rutrum nulla,Tildy Moreside,1999,Novel,English,UK,ligula suspendisse ornare consequat lectus in est risus auctor sed
397,The Little Red Hen,morbi vel lectus in quam,Fidel Taplow,2011,Novel,English,Germany,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt
398,Puss in Boots,nisl duis ac,Genna Benoey,2005,Short story,English,Germany,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula
399,The Town Mouse and the Country Mouse,faucibus orci luctus et ultrices,Humberto Rhymer,2010,Novel,English,UK,orci eget orci vehicula condimentum curabitur
400,Ghost Stories,luctus et ultrices posuere,Clare Silvers,1999,Short story,English,USA,
401,Belling the Cat,quis justo maecenas rhoncus aliquam,Cindra Cromie,2009,Short story,English,UK,ante nulla justo aliquam quis
402,Hans in Luck,tincidunt ante vel ipsum praesent blandit,Margareta Mellmer,1995,Novel,English,Germany,aenean auctor gravida
403,The Fox and the Grapes,purus eu,Carlin Wheatley,2002,Novel,English,USA,dolor sit amet consectetuer adipiscing
404,Sleeping Beauty,cubilia curae nulla dapibus,Gregory MacGuffog,2007,Novel,English,UK,fringilla rhoncus mauris enim leo rhoncus sed
405,Belling the Cat,eu nibh quisque id justo sit,Abbie Pierton,2005,Short story,English,Belgium,vitae ipsum aliquam non mauris
406,The Fox and the Grapes,fermentum donec ut mauris eget massa,Alfonso Rivaland,2005,Novel,English,Germany,libero nam dui proin leo odio porttitor id consequat
407,The Little Red Hen,ullamcorper augue a suscipit nulla elit,Enrika Dimitrie,1987,Short story,English,USA,
408,Sleeping Beauty,odio condimentum id luctus nec molestie,Costa Frusher,2006,Short story,English,USA,
409,Stone Soup,vestibulum ante ipsum primis,Gregoire Maggiori,2010,Short story,English,USA,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in
410,Brer Rabbit,molestie lorem,Jedediah Ness,1998,Short story,English,UK,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus
411,The Town Mouse and the Country Mouse,libero convallis eget,Pansy Giggie,1999,Short story,English,UK,quis turpis sed ante vivamus
412,The Little Red Hen,est congue,Noah Guittet,2008,Short story,English,UK,nunc donec quis orci eget orci vehicula condimentum curabitur
413,The Lion and the Mouse,quam nec dui luctus,Dawna Joice,2007,Short story,English,Belgium,interdum eu tincidunt in
414,The Princess and the Pea,in hac,Jana Riccardi,2010,Novel,English,UK,sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu
415,Seven Swabians,luctus et ultrices posuere cubilia curae,Jacquelin Jopp,2002,Short story,English,USA,nulla neque libero convallis eget eleifend
416,The Grasshopper and the Ants,pellentesque ultrices mattis,Rubie West,2003,Short story,English,USA,at turpis donec posuere metus vitae ipsum aliquam non
417,The Town Mouse and the Country Mouse,magna vestibulum,Conrade Moff,1991,Novel,English,UK,ante vestibulum ante ipsum primis in faucibus orci
418,The Teeny Tiny Woman,orci luctus et ultrices,Anatola Petherick,2004,Short story,English,Germany,
419,Trickster Tales,vulputate nonummy,Morton Chatain,1998,Novel,English,Germany,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis
420,The Little Red Hen,nisi venenatis tristique fusce,Whitney Wellen,2011,Short story,English,Belgium,
421,Stone Soup,consequat in consequat ut nulla,Maggie Casarini,1988,Novel,English,USA,lectus pellentesque at nulla suspendisse
422,Ghost Stories,ac leo pellentesque ultrices mattis,Georgine Feldhorn,2006,Novel,English,Belgium,
423,Gingerbread Man,vitae quam,Eddy Braams,2005,Novel,English,Belgium,ut volutpat sapien arcu sed
424,Chicken Little,leo maecenas pulvinar lobortis est,Maje Schwandner,1983,Short story,English,Germany,
425,Rapunzel,rutrum neque aenean auctor gravida sem,Kristofor Francesco,2009,Short story,English,Belgium,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis
426,Jack and the Beanstalk,ac nibh fusce lacus purus,Bruno Darlaston,2008,Novel,English,Germany,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus
427,Gingerbread Man,id nulla ultrices aliquet maecenas leo,Henderson Rase,2000,Novel,English,Germany,
428,The Little Red Hen,amet nulla,Erminie Whitmore,2010,Novel,English,UK,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus
429,Ghost Stories,lacus at velit vivamus vel,Verine Kinnier,2010,Novel,English,Germany,risus auctor sed tristique in tempus sit amet sem fusce consequat
430,The Princess and the Pea,sapien sapien non mi integer ac,Kelsy Knappett,1992,Short story,English,USA,enim lorem ipsum dolor sit amet
431,Snow White,convallis tortor,Nydia Oldroyde,1978,Novel,English,Germany,neque aenean auctor gravida sem praesent
432,Hans in Luck,elementum eu,Suzie Eisold,2003,Novel,English,Belgium,vitae ipsum aliquam non mauris morbi non lectus
433,The Lion and the Mouse,tristique in tempus sit amet,Neville Pulbrook,1999,Novel,English,Belgium,
434,The Princess and the Pea,elementum in,Terrye Silbersak,2006,Novel,English,UK,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst
435,Chicken Little,quam pharetra magna ac consequat,Alfi Nehlsen,1992,Short story,English,Belgium,curae mauris viverra diam vitae quam suspendisse potenti nullam
436,The Little Red Hen,quam suspendisse potenti nullam porttitor,Homer Palffy,1986,Short story,English,UK,tincidunt in leo maecenas pulvinar
437,The Bremen Town Musicians,orci luctus et ultrices,Isabelita Godding,1992,Short story,English,Italy,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit
438,The Grasshopper and the Ants,ultrices vel,Leena Greguol,2001,Novel,English,UK,amet diam in magna bibendum
439,Little Red Riding Hood,non lectus aliquam sit,Lorrie Chipperfield,1987,Short story,English,Italy,quam a odio in hac habitasse platea dictumst maecenas ut massa
440,Trickster Tales,nulla elit,Berenice Eastup,2003,Novel,English,UK,integer ac neque duis bibendum morbi non quam nec dui luctus rutrum
441,Goldilocks and the Three Bears,placerat ante nulla justo aliquam quis,Leland Fairbank,1992,Short story,English,UK,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam
442,Chicken Little,penatibus et magnis dis,Fredra Petford,2009,Novel,English,USA,nullam varius
443,Sleeping Beauty,primis in faucibus orci luctus et,Babs Gerson,2009,Novel,English,UK,dolor sit amet consectetuer adipiscing elit proin interdum mauris non
444,Ghost Stories,sed accumsan,Ricard Wilmore,2010,Short story,English,USA,pede libero quis orci nullam molestie nibh in lectus pellentesque at
